mtprotosender.py:234 #INFO     [2026-02-10 15:13:14,833] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-10 15:13:15,018] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:101 #INFO     [2026-02-10 15:13:16,292] - root - 0| Client has been connected!
utils.py:101 #INFO     [2026-02-10 15:13:16,293] - root - 0| Redis has been initialized!
utils.py:101 #INFO     [2026-02-10 15:13:16,293] - root - 0| Prepare to load data in redis...
utils.py:101 #INFO     [2026-02-10 15:13:16,294] - root - 0| Loading messages data from small groups...
utils.py:101 #INFO     [2026-02-10 15:13:16,516] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-10 15:13:16,519] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:101 #INFO     [2026-02-10 15:13:16,519] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-10 15:13:16,561] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-10 15:13:16,561] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-10 15:13:16,561] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-10 15:13:19,446] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 196) with member_id aiokafka-0.12.0-24f84f81-8022-4f79-8e63-25c8f7f09dd7
group_coordinator.py:1368 #INFO     [2026-02-10 15:13:19,447] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-02-10 15:13:19,466] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 196
group_coordinator.py:506 #INFO     [2026-02-10 15:13:19,466] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:53 #INFO     [2026-02-10 15:13:19,467] - root - 0| Kafka Consumer has been init
kafka.py:33 #INFO     [2026-02-10 15:13:19,501] - root - 0| Kafka Producer has been init
utils.py:101 #INFO     [2026-02-10 15:13:19,501] - root - 0| Event handlers has been registered!
utils.py:101 #INFO     [2026-02-10 15:13:19,501] - root - 0| Kafka listener has been started!
mtprotosender.py:325 #INFO     [2026-02-10 15:14:01,352] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-10 15:14:01,353] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
