mtprotosender.py:234 #INFO     [2026-02-04 10:13:33,521] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-04 10:13:33,696] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-04 10:13:34,831] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-04 10:13:34,833] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-04 10:13:34,833] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-04 10:13:34,833] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-04 10:13:37,320] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-04 10:13:37,323] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-04 10:13:37,325] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-04 10:13:37,375] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-04 10:13:37,375] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 10:13:37,375] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 10:13:38,251] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 83) with member_id aiokafka-0.12.0-b8a6c454-d544-4f60-8c89-081279540456
group_coordinator.py:1519 #INFO     [2026-02-04 10:13:38,420] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 83
group_coordinator.py:506 #INFO     [2026-02-04 10:13:38,420] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:52 #INFO     [2026-02-04 10:13:38,421] - root - 0| Kafka Consumer has been init
kafka.py:32 #INFO     [2026-02-04 10:13:38,458] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-04 10:13:38,458] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-04 10:13:38,459] - root - 0| Kafka listener has been started!
mtprotosender.py:325 #INFO     [2026-02-04 10:15:55,030] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-04 10:15:55,031] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
